lamT,lamD0.0001omega0,lamD0.0001omega60,lamD10omega0,lamD10omega60
3.23,0.999960816300769,0.999787387956422,0.983746183177805,0.967705432885297
3.24,0.9999620281464,0.999792881846883,0.983952162312181,0.968046843295684
3.25,0.999963202512931,0.999798233775337,0.984155531142512,0.968384644397178
3.26,0.999964340559487,0.99980344741008,0.984356322748301,0.968718874346525
3.27,0.999965443409347,0.999808526324617,0.984554569789843,0.969049570897088
3.28,0.99996651215105,0.999813474000116,0.984750304513542,0.96937677140311
3.29,0.999967547839468,0.999818293827791,0.984943558757156,0.969700512823936
3.3,0.99996855149685,0.999822989111225,0.985134363954969,0.970020831728183
3.31,0.999969524113829,0.999827563068641,0.985322751142914,0.970337764297876
3.32,0.9999704666504,0.999832018835099,0.985508750963614,0.970651346332529
3.33,0.99997138003687,0.999836359464652,0.985692393671367,0.970961613253196
3.34,0.999972265174771,0.999840587932433,0.98587370913707,0.971268600106465
3.35,0.999973122937756,0.999844707136702,0.986052726853076,0.971572341568421
3.36,0.999973954172456,0.999848719900824,0.986229475937992,0.971872871948563
3.37,0.999974759699319,0.99985262897521,0.986403985141413,0.972170225193676
3.38,0.99997554031342,0.999856437039202,0.986576282848602,0.972464434891669
3.39,0.999976296785241,0.999860146702905,0.986746397085105,0.972755534275368
3.4,0.999977029861439,0.999863760508981,0.986914355521307,0.973043556226267
3.41,0.999977740265577,0.999867280934389,0.987080185476939,0.97332853327825
3.42,0.999978428698841,0.999870710392082,0.987243913925517,0.973610497621254
3.43,0.999979095840729,0.999874051232666,0.98740556749873,0.973889481104918
3.44,0.999979742349726,0.999877305746003,0.987565172490772,0.974165515242169
3.45,0.999980368863952,0.999880476162788,0.987722754862623,0.974438631212791
3.46,0.999980976001791,0.999883564656074,0.987878340246265,0.974708859866939
3.47,0.999981564362501,0.999886573342763,0.988031953948855,0.974976231728631
3.48,0.99998213452681,0.999889504285055,0.988183620956842,0.975240776999192
3.49,0.999982687057481,0.999892359491863,0.988333365940029,0.975502525560662
3.5,0.999983222499876,0.999895140920191,0.988481213255589,0.975761506979181
3.51,0.999983741382489,0.999897850476473,0.988627186952022,0.976017750508318
3.52,0.999984244217469,0.999900490017882,0.988771310773071,0.976271285092382
3.53,0.999984731501125,0.999903061353599,0.988913608161582,0.976522139369692
3.54,0.999985203714419,0.999905566246059,0.989054102263319,0.976770341675806
3.55,0.999985661323435,0.999908006412153,0.989192815930726,0.977015920046727
3.56,0.999986104779844,0.99991038352441,0.989329771726647,0.977258902222069
3.57,0.999986534521348,0.999912699212139,0.989464991927993,0.977499315648186
3.58,0.999986950972112,0.999914955062549,0.989598498529369,0.977737187481281
3.59,0.999987354543183,0.999917152621835,0.989730313246649,0.977972544590463
3.6,0.999987745632894,0.999919293396238,0.989860457520509,0.97820541356079
3.61,0.99998812462726,0.999921378853078,0.989988952519914,0.97843582069627
3.62,0.999988491900357,0.99992341042176,0.990115819145563,0.978663792022828
3.63,0.999988847814693,0.999925389494753,0.990241078033286,0.978889353291252
3.64,0.999989192721563,0.999927317428543,0.990364749557405,0.979112529980099
3.65,0.999989526961398,0.999929195544568,0.990486853834042,0.97933334729857
3.66,0.9999898508641,0.999931025130116,0.990607410724396,0.979551830189363
3.67,0.99999016474937,0.999932807439215,0.99072643983797,0.979768003331488
3.68,0.999990468927019,0.999934543693486,0.990843960535764,0.979981891143052
3.69,0.999990763697278,0.999936235082985,0.990959991933422,0.980193517784021
3.7,0.999991049351091,0.999937882767018,0.991074552904342,0.980402907158948
3.71,0.999991326170406,0.999939487874932,0.991187662082746,0.980610082919673
3.72,0.99999159442845,0.999941051506893,0.99129933786671,0.980815068467994
3.73,0.99999185439,0.99994257473464,0.991409598421158,0.981017886958309
3.74,0.999992106311643,0.999944058602215,0.991518461680817,0.981218561300238
3.75,0.999992350442032,0.999945504126685,0.99162594535313,0.9814171141612
3.76,0.99999258702213,0.999946912298836,0.991732066921144,0.981613567968984
3.77,0.999992816285447,0.999948284083849,0.991836843646346,0.981807944914276
3.78,0.999993038458271,0.999949620421968,0.991940292571476,0.982000266953167
3.79,0.999993253759891,0.99995092222914,0.992042430523294,0.982190555809635
3.8,0.999993462402816,0.999952190397644,0.992143274115324,0.982378832977997
3.81,0.99999366459298,0.999953425796702,0.992242839750551,0.982565119725335
3.82,0.999993860529951,0.999954629273076,0.992341143624089,0.982749437093903
3.83,0.999994050407122,0.999955801651647,0.992438201725818,0.982931805903501
3.84,0.999994234411907,0.999956943735982,0.992534029842985,0.983112246753827
3.85,0.999994412725922,0.999958056308884,0.992628643562768,0.983290780026802
3.86,0.999994585525168,0.999959140132926,0.992722058274816,0.983467425888877
3.87,0.999994752980202,0.999960195950979,0.992814289173748,0.983642204293306
3.88,0.999994915256305,0.999961224486718,0.99290535126163,0.983815134982404
3.89,0.999995072513648,0.999962226445116,0.992995259350408,0.983986237489773
3.9,0.999995224907448,0.999963202512931,0.993084028064324,0.984155531142512
3.91,0.99999537258812,0.999964153359176,0.993171671842291,0.984323035063398
3.92,0.99999551570143,0.999965079635575,0.993258204940242,0.984488768173045
3.93,0.999995654388632,0.999965981977012,0.993343641433451,0.984652749192046
3.94,0.999995788786615,0.999966861001967,0.99342799521882,0.984814996643082
3.95,0.999995919028033,0.999967717312937,0.993511280017138,0.984975528853018
3.96,0.999996045241437,0.99996855149685,0.993593509375319,0.985134363954969
3.97,0.999996167551402,0.999969364125469,0.993674696668599,0.985291519890356
3.98,0.999996286078652,0.999970155755784,0.993754855102715,0.985447014410923
3.99,0.999996400940175,0.999970926930388,0.993833997716051,0.985600865080749
4,0.999996512249342,0.999971678177858,0.993912137381762,0.985753089278229
4.01,0.999996620116018,0.99997241001311,0.993989286809864,0.985903704198039
4.02,0.99999672464667,0.999973122937756,0.994065458549304,0.986052726853076
4.03,0.999996825944473,0.999973817440444,0.994140664990001,0.98620017407638
4.04,0.999996924109409,0.999974493997199,0.994214918364859,0.986346062523039
4.05,0.999997019238369,0.999975153071742,0.994288230751761,0.986490408672063
4.06,0.999997111425249,0.999975795115814,0.994360614075529,0.986633228828254
4.07,0.999997200761038,0.999976420569481,0.994432080109867,0.986774539124042
4.08,0.999997287333913,0.999977029861439,0.994502640479274,0.986914355521307
4.09,0.999997371229324,0.999977623409307,0.994572306660936,0.987052693813188
